Title,Address,City,State,Country
Rain Man,,Las Vegas, Nevada, USA
Rain Man,,Oklahoma City, Oklahoma, USA
Rain Man,Westin Bonaventure Hotel & Suites - 404 S. Figueroa Street, Los Angeles, California, USA
Rain Man,,Cincinnati, Ohio, USA
Rain Man,Hearthstone Restaurant  18149 U.S. Highway 52, Metamora, Indiana, USA
Rain Man,Evergreen Cemetery Cemetery - 25 Alexandria Pike, Newport, Kentucky, USA
Rain Man,Pompilio's Bar and Restaurant - 600 Washington Avenue, Newport, Kentucky, USA
Rain Man,St. Anne's Convent - 1000 St. Anne Drive, Melbourne, Kentucky, USA
Rain Man,The Dixie Terminal  Fourth and Walnut Streets, Cincinnati, Ohio, USA
Rain Man,,East Walnut Hills, Ohio, USA
Rain Man,Pink Cadillac Cafe - 8221 West 3rd Street, Los Angeles, California, USA
Rain Man,,Silver Grove, Kentucky, USA
Rain Man,Wattles Mansion - 1824 N. Curson Avenue  Hollywood, Los Angeles, California, USA
The Last Emperor,Forbidden City, Dongcheng District, Beijing, China
The Last Emperor,Beijing Studios,, Beijing, China
The Last Emperor,Changchun Railway Station, Changchun, China,
The Last Emperor,"Cinecittà Studios,  Cinecittà", Rome, Lazio, Italy
The Last Emperor,,Dalian,, China
The Last Emperor,Incir De Paolis Studios, Rome, Lazio, Italy
The Last Emperor,,Manchuria,, China
The Last Emperor,Moorish Hall Palazzo dei Congressi  Salsomaggiore Terme, Parma, Emilia-Romagna, Italy
The Last Emperor,Passenger Terminal, Dalian,, China
The Last Emperor,Puppet Manchurian Imperial Palace Museum, Changchun,, China
The Last Emperor,,Rome, Lazio, Italy
The Last Emperor,Summer Palace, Beijing,, China
Platoon,,,,Philippines
Out of Africa,Shaba National Game Reserve,,, Kenya
Out of Africa,Shepperton Studios, Shepperton, Surrey, UK
Out of Africa,,,UK, UK
Amadeus,,Kromeríz,, Czech Republic
Amadeus,Barrandov Studios, Prague,, Czech Republic
Amadeus,Hradcany Square, Hradcany, Prague, Czech Republic
Amadeus,Archbishop's Palace, Kromeríz, Czech Republic,
Amadeus,Château de Guermantes, Seine-et-Marne,, France
Amadeus,"Estates Theatre, Ovocný trh 1,  Old Town", Prague,, Czech Republic
Amadeus,"Gryspek Palace,  Hradcany Square", Hradcany, Prague, Czech Republic
Amadeus,Kromeríz, Czech Republic,,
Amadeus,Malá Strana, Prague,, Czech Republic
Amadeus,Old Town, Prague,, Czech Republic
Amadeus,"Palace of the Grand Prior of the Knights of Malta,  Maltese Square", Malá Strana, Prague, Czech Republic
Amadeus,"St Giles' Church,  Husova Street", Old Town, Prague, Czech Republic
Amadeus,Wien Südbahnhof - Wiedner Gürtel 1, Favoriten, Vienna, Austria
Amadeus,Tyl Theatre, Plzen,, Czech Republic
Amadeus,Hradcanske Námestí, Hradcany, Prague, Czech Republic
Amadeus,Monte Argentario, Grosseto, Tuscany, Italy
Amadeus,Maltese Square, Malá Strana, Prague, Czech Republic
